feature,cls,db,density
VV,non-flooded land,-20.375,0.00024015129531604912
VV,non-flooded land,-20.125,0.0005803656303471187
VV,non-flooded land,-19.875,0.0005403404144611106
VV,non-flooded land,-19.625,0.0007804917097771596
VV,non-flooded land,-19.375,0.0008805547494921801
VV,non-flooded land,-19.125,0.0010406556130362129
VV,non-flooded land,-18.875,0.0013208321242382701
VV,non-flooded land,-18.625,0.0011207060448082291
VV,non-flooded land,-18.375,0.0016210212433833316
VV,non-flooded land,-18.125,0.0018211473228133723
VV,non-flooded land,-17.875,0.0014609203798392988
VV,non-flooded land,-17.625,0.0020412860101864175
VV,non-flooded land,-17.375,0.0022213994816734544
VV,non-flooded land,-17.125,0.001721084283098352
VV,non-flooded land,-16.875,0.0020612986181294214
VV,non-flooded land,-16.625,0.0019011977545853888
VV,non-flooded land,-16.375,0.0023214625213884748
VV,non-flooded land,-16.125,0.0020612986181294214
VV,non-flooded land,-15.875,0.0024815633849325073
VV,non-flooded land,-15.625,0.002381500345217487
VV,non-flooded land,-15.375,0.0024415381690464995
VV,non-flooded land,-15.125,0.002121336441958434
VV,non-flooded land,-14.875,0.0020412860101864175
VV,non-flooded land,-14.625,0.0025215886008185156
VV,non-flooded land,-14.375,0.002581626424647528
VV,non-flooded land,-14.125,0.002601639032590532
VV,non-flooded land,-13.875,0.0024415381690464995
VV,non-flooded land,-13.625,0.0024015129531604913
VV,non-flooded land,-13.375,0.0029018281517355932
VV,non-flooded land,-13.125,0.0033020803105956753
VV,non-flooded land,-12.875,0.0031019542311656345
VV,non-flooded land,-12.625,0.0033621181344246874
VV,non-flooded land,-12.375,0.004082572020372835
VV,non-flooded land,-12.125,0.005483454576383121
VV,non-flooded land,-11.875,0.008325244904289703
VV,non-flooded land,-11.625,0.00894563575052283
VV,non-flooded land,-11.375,0.009165774437895874
VV,non-flooded land,-11.125,0.010886858720994227
VV,non-flooded land,-10.875,0.01202757737374546
VV,non-flooded land,-10.625,0.013828712088615828
VV,non-flooded land,-10.375,0.015149544212854098
VV,non-flooded land,-10.125,0.016690515024465412
VV,non-flooded land,-9.875,0.01795130932487467
VV,non-flooded land,-9.625,0.02049291053363619
VV,non-flooded land,-9.375,0.024875671673154087
VV,non-flooded land,-9.125,0.02699700811511252
VV,non-flooded land,-8.875,0.03232036182795161
VV,non-flooded land,-8.625,0.039304762000060035
VV,non-flooded land,-8.375,0.045388594814733285
VV,non-flooded land,-8.125,0.055855188768924424
VV,non-flooded land,-7.875,0.06538119014979438
VV,non-flooded land,-7.625,0.07953010396549827
VV,non-flooded land,-7.375,0.0933788286620571
VV,non-flooded land,-7.125,0.1134514744288902
VV,non-flooded land,-6.875,0.13370423366721035
VV,non-flooded land,-6.625,0.1540770685531885
VV,non-flooded land,-6.375,0.1814743288271611
VV,non-flooded land,-6.125,0.20016610464592693
VV,non-flooded land,-5.875,0.2229604650930086
VV,non-flooded land,-5.625,0.23746960585168655
VV,non-flooded land,-5.375,0.25109819186087234
VV,non-flooded land,-5.125,0.24901688063479993
VV,non-flooded land,-4.875,0.23969100533336002
VV,non-flooded land,-4.625,0.22474158719993595
VV,non-flooded land,-4.375,0.20120676025896314
VV,non-flooded land,-4.125,0.17567067252368992
VV,non-flooded land,-3.875,0.1472127440287381
VV,non-flooded land,-3.625,0.11725386993806097
VV,non-flooded land,-3.375,0.09570029118344557
VV,non-flooded land,-3.125,0.07418673764471617
VV,non-flooded land,-2.875,0.0576963486996808
VV,non-flooded land,-2.625,0.0435274222760339
VV,non-flooded land,-2.375,0.034401673054024036
VV,non-flooded land,-2.125,0.026136465973563346
VV,non-flooded land,-1.875,0.02009265837477611
VV,non-flooded land,-1.625,0.015729909843201217
VV,non-flooded land,-1.375,0.013768674264786816
VV,non-flooded land,-1.125,0.011086984800424268
VV,non-flooded land,-0.875,0.00992625353973003
VV,non-flooded land,-0.625,0.007484715370683531
VV,non-flooded land,-0.375,0.006704223660906371
VV,non-flooded land,-0.125,0.00640403454176131
VV,non-flooded land,0.125,0.005223290673124068
VV,non-flooded land,0.375,0.004903088946036003
VV,non-flooded land,0.625,0.00430271070774588
VV,non-flooded land,0.875,0.0032820677026526713
VV,non-flooded land,1.125,0.003041916407336622
VV,non-flooded land,1.375,0.003502206390025716
VV,non-flooded land,1.625,0.0027417272881915607
VV,non-flooded land,1.875,0.0025015759928755116
VV,non-flooded land,2.125,0.0024415381690464995
VV,non-flooded land,2.375,0.0020412860101864175
VV,non-flooded land,2.625,0.0020412860101864175
VV,non-flooded land,2.875,0.0020813112260724257
VV,non-flooded land,3.125,0.0016610464592693396
VV,non-flooded land,3.375,0.0016210212433833316
VV,non-flooded land,3.625,0.0014008825560102864
VV,non-flooded land,3.875,0.0014008825560102864
VV,non-flooded land,4.125,0.0012207690845232497
VV,non-flooded land,4.375,0.0012007564765802456
VV,non-flooded land,4.625,0.0008405295336061719
VV,non-flooded land,4.875,0.0009205799653781882
VV,non-flooded land,5.125,0.0010006303971502046
VV,non-flooded land,5.375,0.0009205799653781882
VV,non-flooded land,5.625,0.0008205169256631678
VV,non-flooded land,5.875,0.0007004412780051432
VV,non-flooded land,6.125,0.0006604160621191351
VV,non-flooded land,6.375,0.0005603530224041146
VV,non-flooded land,6.625,0.0006804286700621392
VV,non-flooded land,6.875,0.0005003151985751023
VV,non-flooded land,7.125,0.0007604791018341555
VV,non-flooded land,7.375,0.00036022694297407367
VV,non-flooded land,7.625,0.0005003151985751023
VV,non-flooded land,7.875,0.0004602899826890941
VV,non-flooded land,8.125,0.0003202017270880655
VV,non-flooded land,8.375,0.00018011347148703683
VV,non-flooded land,8.625,0.00038023955091707773
VV,non-flooded land,8.875,0.0003202017270880655
VV,non-flooded land,9.125,0.00040025215886008186
VV,non-flooded land,9.375,0.0003001891191450614
VV,non-flooded land,9.625,0.0002801765112020573
VV,non-flooded land,9.875,0.00020012607943004093
VH,permanent water,-34.875,0.0
VH,permanent water,-34.625,0.0
VH,permanent water,-34.375,0.0
VH,permanent water,-34.125,0.0
VH,permanent water,-33.875,0.0
VH,permanent water,-33.625,0.0
VH,permanent water,-33.375,0.0
VH,permanent water,-33.125,0.0
VH,permanent water,-32.875,0.0
VH,permanent water,-32.625,0.0
VH,permanent water,-32.375,0.0
VH,permanent water,-32.125,0.0
VH,permanent water,-31.875,0.0
VH,permanent water,-31.625,0.0
VH,permanent water,-31.375,2e-05
VH,permanent water,-31.125,2e-05
VH,permanent water,-30.875,2e-05
VH,permanent water,-30.625,0.0
VH,permanent water,-30.375,0.0001
VH,permanent water,-30.125,0.00024
VH,permanent water,-29.875,0.00056
VH,permanent water,-29.625,0.00162
VH,permanent water,-29.375,0.00318
VH,permanent water,-29.125,0.00602
VH,permanent water,-28.875,0.01012
VH,permanent water,-28.625,0.01888
VH,permanent water,-28.375,0.03148
VH,permanent water,-28.125,0.0447
VH,permanent water,-27.875,0.06504
VH,permanent water,-27.625,0.08164
VH,permanent water,-27.375,0.10348
VH,permanent water,-27.125,0.12092
VH,permanent water,-26.875,0.13838
VH,permanent water,-26.625,0.148
VH,permanent water,-26.375,0.15754
VH,permanent water,-26.125,0.1565
VH,permanent water,-25.875,0.15862
VH,permanent water,-25.625,0.15256
VH,permanent water,-25.375,0.1517
VH,permanent water,-25.125,0.15348
VH,permanent water,-24.875,0.15496
VH,permanent water,-24.625,0.15332
VH,permanent water,-24.375,0.16262
VH,permanent water,-24.125,0.16924
VH,permanent water,-23.875,0.17778
VH,permanent water,-23.625,0.17674
VH,permanent water,-23.375,0.17678
VH,permanent water,-23.125,0.17434
VH,permanent water,-22.875,0.16448
VH,permanent water,-22.625,0.1514
VH,permanent water,-22.375,0.13498
VH,permanent water,-22.125,0.11476
VH,permanent water,-21.875,0.09324
VH,permanent water,-21.625,0.06986
VH,permanent water,-21.375,0.05406
VH,permanent water,-21.125,0.0377
VH,permanent water,-20.875,0.02562
VH,permanent water,-20.625,0.01774
VH,permanent water,-20.375,0.01168
VH,permanent water,-20.125,0.00866
VH,permanent water,-19.875,0.00632
VH,permanent water,-19.625,0.00472
VH,permanent water,-19.375,0.00452
VH,permanent water,-19.125,0.00372
VH,permanent water,-18.875,0.00336
VH,permanent water,-18.625,0.00268
VH,permanent water,-18.375,0.00278
VH,permanent water,-18.125,0.00252
VH,permanent water,-17.875,0.00286
VH,permanent water,-17.625,0.00208
VH,permanent water,-17.375,0.0018
VH,permanent water,-17.125,0.00194
VH,permanent water,-16.875,0.00194
VH,permanent water,-16.625,0.00168
VH,permanent water,-16.375,0.0019
VH,permanent water,-16.125,0.00122
VH,permanent water,-15.875,0.0013
VH,permanent water,-15.625,0.00122
VH,permanent water,-15.375,0.00142
VH,permanent water,-15.125,0.00116
